country,lat,lng,location
Mauritania,21.00789,-10.940835,"21.00789, -10.940835"
Mauritius,-20.348404,57.552152,"-20.348404, 57.552152"
Mexico,23.634501,-102.552784,"23.634501, -102.552784"
Moldova,47.411631,28.369885,"47.411631, 28.369885"
Mongolia,46.862496,103.846656,"46.862496, 103.846656"
Montenegro,42.708678,19.37439,"42.708678, 19.37439"
Morocco,31.791702,-7.09262,"31.791702, -7.09261999999999"
Myanmar,21.916221,95.955974,"21.916221, 95.955974"
Nepal,28.394857,84.124008,"28.394857, 84.1240079999999"
Netherlands,52.132633,5.291266,"52.132633, 5.29126599999999"
New Zealand,-40.900557,174.885971,"-40.900557, 174.885971"
Nicaragua,12.865416,-85.207229,"12.865416, -85.207229"
Niger,17.607789,8.081666,"17.607789, 8.081666"
Nigeria,9.081999,8.675277,"9.081999, 8.675277"
North Cyprus,35.2480359,33.6577243,"35.2480359, 33.6577243"
Norway,60.472024,8.468946,"60.4720239999999, 8.46894599999999"
Pakistan,30.375321,69.345116,"30.375321, 69.3451159999999"
Palestinian Territories,31.952162,35.233154,"31.952162, 35.233154"
Panama,8.537981,-80.782127,"8.537981, -80.782127"
Paraguay,-23.442503,-58.443832,"-23.442503, -58.443832"
Peru,-9.189967,-75.015152,"-9.189967, -75.015152"
Philippines,12.879721,121.774017,"12.879721, 121.774017"
Poland,51.919438,19.145136,"51.919438, 19.145136"
Portugal,39.399872,-8.224454,"39.3998719999999, -8.224454"
Qatar,25.354826,51.183884,"25.354826, 51.183884"
Romania,45.943161,24.96676,"45.943161, 24.96676"
Russia,61.52401,105.318756,"61.52401, 105.318756"
Rwanda,-1.940278,29.873888,"-1.940278, 29.873888"
Saudi Arabia,23.885942,45.079162,"23.885942, 45.079162"
Senegal,14.497401,-14.452362,"14.497401, -14.452362"
Serbia,44.016521,21.005859,"44.016521, 21.005859"
Sierra Leone,8.460555,-11.779889,"8.460555, -11.779889"
Singapore,1.352083,103.819836,"1.352083, 103.819836"
Slovakia,48.669026,19.699024,"48.669026, 19.699024"
Slovenia,46.151241,14.995463,"46.151241, 14.995463"
Somalia,5.152149,46.199616,"5.152149, 46.199616"
South Africa,-30.559482,22.937506,"-30.559482, 22.937506"
South Korea,35.907757,127.766922,"35.907757, 127.766922"
Spain,40.463667,-3.74922,"40.463667, -3.74922"
Sri Lanka,7.873054,80.771797,"7.87305399999999, 80.7717969999999"
Sweden,60.128161,18.643501,"60.128161, 18.643501"
Switzerland,46.818188,8.227512,"46.818188, 8.22751199999999"
Syria,34.802075,38.996815,"34.8020749999999, 38.996815"
Taiwan,23.69781,120.960515,"23.69781, 120.960515"
Tajikistan,38.861034,71.276093,"38.861034, 71.276093"
Tanzania,-6.369028,34.888822,"-6.369028, 34.888822"
Thailand,15.870032,100.992541,"15.870032, 100.992541"
Togo,8.619543,0.824782,"8.619543, 0.824782"
Trinidad and Tobago,10.691803,-61.222503,"10.691803, -61.222503"
Tunisia,33.886917,9.537499,"33.886917, 9.537499"
Turkey,38.963745,35.243322,"38.963745, 35.243322"
Turkmenistan,38.969719,59.556278,"38.969719, 59.556278"
Uganda,1.373333,32.290275,"1.373333, 32.290275"
Ukraine,48.379433,31.1655799,"48.379433, 31.1655799"
United Arab Emirates,23.424076,53.847818,"23.424076, 53.847818"
United Kingdom,55.378051,-3.435973,"55.378051, -3.435973"
United States,37.09024,-95.712891,"37.09024, -95.712891"
Uruguay,-32.522779,-55.765835,"-32.522779, -55.765835"
Uzbekistan,41.377491,64.585262,"41.377491, 64.585262"
Venezuela,6.42375,-66.58973,"6.42375, -66.58973"
Vietnam,14.058324,108.277199,"14.058324, 108.277199"
Yemen,15.552727,48.516388,"15.552727, 48.516388"
Zambia,-13.133897,27.849332,"-13.133897, 27.849332"
Zimbabwe,-19.015438,29.154857,"-19.015438, 29.154857"
